Rank,Name,Pos,Z Total
217,Terence Davis,SG,0.035329822
218,Malik Beasley,SG,0.034588106
219,Cody Zeller,C,0.02955325
220,Brad Wanamaker,PG,0.01598487
221,Ersan İlyasova,PF,0.010814261
222,Moritz Wagner,C,-0.030244961
223,Shake Milton,SG,-0.035571049
224,Kentavious Caldwell-Pope,SG,-0.061679242
225,Markieff Morris,PF,-0.101001006
226,Malik Monk,SG,-0.172448079
227,Frank Ntilikina,PG,-0.186156551
228,Caleb Martin,SF,-0.204207339
229,Juan Toscano-Anderson,SG,-0.205855143
230,Landry Shamet,SG,-0.221627102
231,Jordan McLaughlin,PG,-0.225296278
232,Kevin Porter Jr.,SF,-0.234939495
233,Jevon Carter,PG,-0.270648438
234,Shaquille Harrison,SG,-0.300970625
235,Courtney Lee,SG,-0.323537374
236,Furkan Korkmaz,SG,-0.337113653
237,Mychal Mulder,SF,-0.389465029
238,Josh Jackson,SF,-0.398342488
239,Isaac Bonga,SF,-0.399982222
240,Avery Bradley,SG,-0.451348335
241,Chris Chiozza,PG,-0.464073968
242,Naz Reid,C,-0.467377261
243,Dwight Howard,C,-0.481603833
244,Enes Kanter,C,-0.489175066
245,Ky Bowman,PG,-0.504608513
246,Chris Boucher,C,-0.525877268
247,Tyus Jones,PG,-0.57281639
248,Jaxson Hayes,C,-0.582757376
249,Sindarius Thornwell,SF,-0.59407111
250,Omari Spellman,C,-0.603130225
251,Ian Mahinmi,C,-0.636350699
252,Kyle Korver,SF,-0.666542083
253,Jake Layman,SF,-0.676405964
254,Jarrett Culver,SG,-0.728762174
255,Bryn Forbes,SG,-0.734327362
256,Bol Bol,PF,-0.758289796
257,Wilson Chandler,PF,-0.79596535
258,Darius Garland,SG,-0.796796758
259,DeAndre' Bembry,SG,-0.805826963
260,D.J. Augustin,PG,-0.811228556
261,Isaiah Thomas,PG,-0.834825059
262,Reggie Bullock,SG,-0.880093746
263,Andre Iguodala,SF,-0.963560909
264,JaKarr Sampson,PF,-0.965002522
265,Frank Kaminsky,C,-0.977731682
266,Jalen McDaniels,SF,-0.990071704
267,Alex Caruso,PG,-1.007600547
268,Grayson Allen,SG,-1.010329168
269,Mo Bamba,C,-1.090482037
270,Alex Len,C,-1.096418807
271,Patrick McCaw,SF,-1.100873593
272,Nicolò Melli,C,-1.141388096
273,Jeremiah Martin,PG,-1.143177663
274,Skal Labissière,C,-1.151769844
275,Denzel Valentine,SF,-1.175114302
276,C.J. Miles,SF,-1.2553258
277,Torrey Craig,SF,-1.269870005
278,Jalen Brunson,PG,-1.328616322
279,Harry Giles,C,-1.335300112
280,Chandler Hutchison,SF,-1.364317437
281,Solomon Hill,PF,-1.388085289
282,Austin Rivers,SG,-1.394215876
283,Mike Scott,PF,-1.449597294
284,Mason Plumlee,C,-1.480718905
285,Dewayne Dedmon,C,-1.490049359
286,Timothé Luwawu-Cabarrot,SF,-1.492150924
287,Cristiano Felício,C,-1.545555751
288,Darius Bazley,PF,-1.550198395
289,Wesley Matthews,SG,-1.560615199
290,Cheick Diallo,C,-1.573294567
291,Drew Eubanks,C,-1.588825465
292,Luguentz Dort,SF,-1.624900647
293,Taj Gibson,C,-1.626023068
294,Trey Burke,PG,-1.646235311
295,Kelan Martin,SF,-1.658987605
296,Isaiah Hartenstein,C,-1.659831128
297,J.J. Barea,PG,-1.72038639
298,Abdel Nader,SF,-1.751702126
299,Wesley Iwundu,SF,-1.761079627
300,Mario Hezonja,PF,-1.770201871
301,E'Twaun Moore,SG,-1.842796749
302,Georges Niang,PF,-1.854326884
303,Cody Martin,SF,-1.89290165
304,Jarred Vanderbilt,PF,-1.895995056
305,Tony Bradley,C,-1.89886733
306,Chris Silva,PF,-1.907575918
307,John Henson,C,-2.07549741
308,Meyers Leonard,C,-2.142801846
309,Mfiondu Kabengele,C,-2.181478447
310,Jordan Poole,SG,-2.205385943
311,John Konchar,SG,-2.209455009
312,Garrison Mathews,SG,-2.218368765
313,Luke Kornet,C,-2.253356096
314,Brandon Goodwin,PG,-2.268952998
315,Rajon Rondo,PG,-2.35362834
316,Ryan Broekhoff,SF,-2.413408757
317,Emmanuel Mudiay,PG,-2.413540369
318,Luka Šamanić,PF,-2.426103713
319,Bruno Caboclo,C,-2.438339067
320,Anfernee Simons,SG,-2.440828678
321,Jahlil Okafor,C,-2.500976801
322,Gary Payton II,SF,-2.579771635
323,Sterling Brown,SF,-2.599180568
324,Mike Muscala,C,-2.605033599
325,Al-Farouq Aminu,PF,-2.606030248
326,Johnathan Williams,PF,-2.63513173
327,Justin Jackson,PF,-2.641424815
328,Lonnie Walker,SG,-2.682813509
329,Noah Vonleh,C,-2.695746543
330,Boban Marjanović,C,-2.706978176
331,Chris Clemons,SG,-2.721523172
332,Vince Carter,PF,-2.803317525
333,DaQuan Jeffries,SG,-2.911525472
